"(0, 0)","(2, 0)","(3, 0)","(4, 0)","(5, 0)","(0, 1)","(1, 1)","(2, 1)","(3, 1)","(5, 1)","(0, 2)","(1, 2)","(2, 2)","(3, 2)","(4, 2)","(5, 2)","(0, 3)","(1, 3)","(2, 3)","(3, 3)","(4, 3)","(5, 3)","(0, 4)","(4, 4)","(5, 4)","(0, 5)","(1, 5)","(2, 5)","(3, 5)","(4, 5)","(5, 5)"
10.466174574128358,9.330887308318037,9.259163415985288,9.141532268560889,9.258069449469945,9.891549562278014,8.315047424968611,9.060417292140725,8.566937050895016,8.904624542231636,8.420485826430568,7.040852265152873,7.852324392839124,8.428932576821266,8.318013836910648,8.357650648073252,7.006759938745443,5.914152703283961,5.811954608993224,7.257730406727242,8.19857232650465,8.197689312516632,5.74999391089997,7.129473196944226,7.982054551883845,4.381846081427114,3.205941684013305,3.8407440391323844,4.8345337955575545,5.843290987387278,6.825210489250784
11.361512828387074,10.125477769893914,10.049846694409036,9.932414393155252,10.04895157406525,10.786663364447076,9.209341322646214,9.861379211298384,9.326135647596702,9.695506663342059,9.314779724390947,7.932715587230015,8.657359194730894,9.18587762905408,9.03973869809779,9.080996030453312,7.8981951260939205,6.795407734227204,6.618057347019697,8.012756767456732,8.917953511038377,8.900200750308926,6.637852665844585,7.844310529725661,8.683611182647152,5.255186166211378,4.05519854992491,4.539418085829795,5.535124153531121,6.54487036173544,7.525968851279173
12.247897700103204,10.911735515721974,10.83260064561455,10.715387696504417,10.831924877414506,11.6729226241048,10.095101018719829,10.65439061381003,10.080636140919436,10.478479966001407,10.200539420492557,8.816775698348097,9.454953063760446,9.938312124286627,9.757893541184682,9.800448082844897,8.78197222488942,7.66981973992442,7.41763676789358,8.76328015715858,9.633855843152249,9.597655108341616,7.519665367703614,8.554283430267303,9.380223243769578,6.128907398246405,4.915036756524544,5.232623110590946,6.22949190889363,7.240096238467755,8.22043313874499
13.125418723102172,11.689783808424117,11.607504970318665,11.490531266820163,11.607068447730262,12.550369319121378,10.972230513280726,11.439492507256091,10.830184187828412,11.253623536180566,11.077668915056226,9.692554376135886,10.24503106057838,10.685935637497762,10.47238894512429,10.515789056978228,9.657554625546675,8.537494950501399,8.210199716309491,9.509240970928545,10.34598427590279,10.290229307141393,8.394215744917735,9.260529988506232,10.071859006536211,6.998925442543587,5.777271937203013,5.919816967740763,6.9175956188274,7.929226633090803,8.909729217409566
13.99416453587115,12.459740365367436,12.37464000292846,12.25792340143276,12.374460582342861,13.419069012104728,11.840706204796376,12.216747831681705,11.574556496933928,12.02101567076612,11.946144606572151,10.559976601638962,11.027548577096553,11.428530457324667,11.183102789291562,11.226973476027313,10.52482368875329,9.403558146770058,8.995691456199642,10.250323240127244,11.054279602067362,10.978038769543913,9.260837980926677,9.96292605702421,10.758768121765184,7.863062410569759,6.637048794060718,6.600859489723972,7.599631425935742,8.613291445726482,9.593968962376215
14.854222890512439,13.221718025832306,13.134084822857389,13.017641614699233,13.134178795609333,14.27909605888316,12.700570255424042,12.986225376842311,12.31356262113673,12.780733884027239,12.806008657199843,11.41952869921022,11.80252648152931,12.165903230844096,11.889912298520764,11.93392379870961,11.384256330121955,10.262050301585099,9.774552730363302,10.986343256969569,11.758625248076362,11.661195123660237,10.119306281716087,10.6614371685375,11.44105442917893,8.720094690152346,7.4916810903952715,7.275878268306455,8.27645384735065,9.292468950974278,10.273463132840192
15.705680661607316,13.975825158479466,13.885917773414604,13.76976264583304,13.88629982674314,15.130531494402264,13.551933875144256,13.747999831238703,13.047040413256738,13.532854915159984,13.65737227692006,12.27065829164618,12.57004825953449,12.897893035165248,12.592693416354262,12.636561512189505,12.235343213041274,11.112807334535326,10.546191935668126,11.71717997869405,12.458916840110797,12.339789382499873,10.969953657236372,11.355977864650404,12.118813206112835,9.569456377393355,8.339667850498921,7.945575344226393,8.948373270947055,9.967019507041096,10.948342384207345
16.54862385499124,14.722166075773252,14.630216385996203,14.514362466655509,14.63089964756561,15.973463155578099,14.394817568078846,14.502151980067438,13.774853277348743,14.277454735982246,14.500255969854651,13.113448223078965,13.330102447695385,13.624367433212324,13.291324185940695,13.334804971220901,13.07810574753077,11.955354921720657,11.310646965561023,12.44263705265299,13.155053152510774,13.013895288051833,11.81244264886149,12.046466453373313,12.792117506945461,10.41120659509254,9.180263685294323,8.610335548746892,9.615657357224064,10.637063908089676,11.61872088647496
17.383137616441328,15.460841395727591,15.367057428683566,15.251516289269755,15.368053470179854,16.8079698847951,15.229301132542476,15.248752945709747,14.496887593761848,15.014608558596446,15.334739534318281,13.947869804615033,14.082748118186249,14.345205032390176,13.98568682330392,14.028572407644404,13.912515334380775,12.789671263379532,12.067842344037738,13.162603318793268,13.846925456994809,13.683570393475522,12.646723396518944,12.73282190886009,13.46102488020861,11.2450101356566,10.013367833001569,9.270447065573343,10.278454771937387,11.302696447873004,12.284679760162703
18.209306240276916,16.191948369032957,16.09651694263835,15.981298573657856,16.097835754567956,17.634134822937952,16.055452071536312,15.98787906932038,15.213048957905684,15.74439084298454,16.16089047331212,14.773991978376358,14.828026741865635,15.060310033466912,14.67566793062013,14.71778368031183,14.73863018435835,13.615728710561033,12.817811693238617,13.876964397955241,14.534435161571317,14.348857883130064,13.472763377340321,13.41495579405769,14.125578583750416,12.070784348940162,10.838694858374335,9.926084698357931,10.936869631559023,11.963982687365439,12.946281949720754
