"(0, 0)","(1, 0)","(2, 0)","(0, 1)","(1, 1)","(1, 2)","(2, 2)"
35.6330421167427,37.07701023262383,37.647460510880016,34.382871089275625,35.526493837053465,33.14543147033047,31.90480839103583
36.25656751163389,37.70053562751502,38.27098590577121,35.0063964841668,36.150019231944654,33.76895686522161,32.528333785926826
36.87385765257617,38.31782576845731,38.8882760467135,35.62368662510908,36.767309372886935,34.38624700616386,33.14562392686903
37.48497489210903,38.92894300799017,39.49939328624637,36.23480386464193,37.3784266124198,34.99736424569671,33.75674116640185
38.08998095924657,39.533949075127715,40.104399353383904,36.83980993177946,37.98343267955733,35.602370312834246,34.36174723353936
38.68893696571273,40.13290508159387,40.70335535985007,37.43876593824562,38.58238868602349,36.2013263193004,34.96070324000552
39.28190341211422,40.72587152799538,41.296321806251576,38.03173238464712,39.17535513242498,36.7942927657019,35.55366968640701
39.868940194051724,41.312908309932865,41.883358588189054,38.618769166584606,39.76239191436249,37.38132954763937,36.14070646834449
40.45010660816983,41.89407472405097,42.46452500230716,39.19993558070273,40.3435583284806,37.96249596175749,36.72187288246259
41.02546135814675,42.469429474027905,43.039879752284094,39.77529033067966,40.91891307845752,38.53785071173443,37.29722763243953
41.595062560623916,43.039030676505064,43.60948095476125,40.34489153315681,41.48851428093468,39.10745191421158,37.866828834916696
42.15896775107631,43.60293586695745,44.17338614521364,40.9087967236092,42.052419471387076,39.67135710466397,38.43073402536908
42.71723388962417,44.16120200550532,44.73165228376151,41.467062862157064,42.61068560993493,40.22962324321183,38.98900016391694
43.26991736678656,44.7138854826677,45.284335760923895,42.019746339319454,43.16336908709732,40.782306720374216,39.54168364107933
43.81707400917732,45.26104212505847,45.831492403314655,42.566902981710214,43.71052572948808,41.32946336276498,40.08884028347009
44.35875908514417,45.80272720102532,46.37317747928151,43.10858805767707,44.252210805454936,41.87114843873184,40.63052535943695
44.89502731035135,46.3389954262325,46.9094457044887,43.64485628288425,44.78847903066212,42.407416663939024,41.16679358464414
45.42593285330647,46.86990096918762,47.44035124744381,44.175761825839366,45.319384573617235,42.93832220689413,41.69769912759924
45.95152934083204,47.39549745671318,47.96594773496937,44.701358313364935,45.8449810611428,43.4639186944197,42.2232956151248
46.47186986348233,47.91583797936348,48.486288257619684,45.221698836015236,46.3653215837931,43.984259217070004,42.743636137775106
46.98700698090614,48.43097509678729,49.001425375043496,45.736835953439034,46.8804587012169,44.499396334493795,43.25877325519891
47.49699272715571,48.94096084303687,49.511411121293065,46.246821699688596,47.39044444746647,45.009382080743364,43.76875900144847
48.001878615942786,49.44584673182394,50.01629701008014,46.75170758847567,47.89533033625355,45.51426796953044,44.27364489023554
48.50171564584199,49.94568376172314,50.516134039979335,47.25154461837488,48.395167366152755,46.01410499942964,44.773481920134735
48.9965543054422,50.440522421323344,51.01097269957954,47.7463832779751,48.89000602575297,46.508943659029846,45.26832057973495
49.486444578446395,50.93041269432756,51.500862972583754,48.2362735509793,49.37989629875716,46.99883393203407,45.75821085273916
49.97143594872057,51.415404064601724,51.98585434285791,48.721264921253464,49.86488766903134,47.483825302308226,46.24320222301334
50.451577405292,51.89554552117315,52.46599579942935,49.20140637782489,50.345029125602764,47.963966758879664,46.72334367958476
50.92691744729771,52.37088556317886,52.94133584143506,49.67674641983061,50.820369167608476,48.43930680088537,47.19868372159048
51.397504088883366,52.84147220476452,53.41192248302072,50.14733306141626,51.29095580919413,48.90989344247102,47.66927036317612
